KODE KLASIFIKASI ARSIP,,,,
SESUAI PERATURAN MENTERI DALAM NEGERI NOMOR 83 TAHUN 2022,,,,
A.,KODE KLASIFIKASI  ARSIP DI LINGKUNGAN KEMENTERIAN DALAM NEGERI,,,
,,,,
000,UMUM,,,
,000.1,LAMBANG,,
,000.2,KETATAUSAHAAN DAN KERUMAHTANGGAAN,,
,,000.2.1,Telekomunikasi ,
,,000.2.2,Perjalanan Dinas Dalam Negeri,
,,,000.2.2.3,Perjalanan Dinas Pejabat Eselon 1
,,,000.2.2.4,Perjalanan Dinas Pegawai
,,000.2.3,Perjalanan Dinas Luar Negeri,
,,,000.2.3.3,Perjalanan Dinas Pejabat Eselon 1
,,,000.2.3.6,Perjalanan Dinas Pegawai
,,000.2.4,"Penggunaan Fasilitas Kantor Antara lain: Permintaan dan Penggunaan Ruang Rapat, Gedung, Kendaraan, Wisma, Rumah Dinas dan Fasilitas Kantor Lainnya",
,,000.2.5,Rapat Pimpinan antara lain: Notula/Risalah Rapat,
,,000.2.7,Pengurusan kendaraan dinas,
,,,000.2.7.1,Pengurusan surat-surat kendaraan dinas
,,,000.2.7.2,Pemeliharaan dan perbaikan
,,,000.2.7.3,Pengurusan kehilangan dan masalah kendaraan
,,000.2.8,"Pemeliharaan Gedung, Taman dan Peralatan Kantor",
,,,000.2.8.1,Pertamanan/ Landscape
,,,000.2.8.2,Penghijauan
,,,000.2.8.3,Perbaikan Gedung
,,,000.2.8.4,Perbaikan Peralatan Kantor
,,,000.2.8.5,Perbaikan Rumah Dinas/ Wisma
,,,000.2.8.6,Kebersihan Gedung dan Taman
,,000.2.9,"Pengelolaan jaringan listrik, air, telepon, dan komputer:",
,,,000.2.9.1,Perbaikan/pemeliharaan
,,,000.2.9.2,Pemasangan
,,000.2.10,Ketertiban dan keamanan,
,,,000.2.10.1,"Pengamanan, penjagaan, dan pengawalan terhadap pejabat, kantor, dan rumah dinas"
,,,000.2.10.2,Laporan ketertiban dan keamanan
,,000.2.12,"Administrasi pakaian dinas pegawai, satpam, petugas kebersihan, dan pegawai lainnya",
,000.3,PERLENGKAPAN,,
,,000.3.1,Inventarisasi dan Penyimpanan,
,,,000.3.1.1,Data hasil inventarisasi dan penyimpanan
,,,000.3.1.2,Laporan dan evaluasi inventarisasi dan penyimpanan
,,000.3.2,Pemeliharaan peralatan kantor ,
,,,000.3.2.1,Data hasil pemeliharaan kantor
,,,000.3.2.2,Laporan dan evaluasi pemeliharaan kantor
,,000.3.3,Distribusi ,
,,,000.3.3.1,Barang habis pakai 
,,,000.3.3.2,"Barang milik daerah
"
,,000.3.4,"Penghapusan Barang Milik Daerah Antara lain: Keputusan Pembentukan Tim, Berita Acara Penghapusan Barang Milik Daerah, Daftar Barang yang dihapuskan, Laporan Hasil Pelaksanaan Penghapusan BMD termasuk didalamnya proses lelang penghapusan",
,,000.3.5,Pengelolaan Database Barang Milik Daerah,
,000.4,PENGADAAN ,,
,,000.4.1,"Rencana Pengadaan Barang dan Jasa Antara lain: Identifikasi dan analisis kebutuhan barang/jasa, penyusunan dan penetapan rencana penganggaran pengadaan, penetapan kebijakan umum, penyusunan kerangka Acuan Kerja (KAK), Pengumuman Rencana Umum Pengadaan",
,,000.4.2,"Pengadaan Langsung Antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak",
,,000.4.3,"Pengadaan Tidak Langsung/Lelang Antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak",
,,000.4.4,"Swakelola Antara lain: perencanaan, pelaksanaan dan evaluasi",
,,000.4.5,"Pengolahan Sistem Informasi Pengadaan Antara lain: Data base pengguna sistem informasi pengadaan barang/jasa, Data Base kontrak, Data Base Pengadaan Barang/jasa",
,,000.4.6,"Monitoring dan Evaluasi Antara lain: Laporan Hasil Monitoring, Laporan hasil evaluasi",
,000.5,PERPUSTAKAAN,,
,000.6,KEARSIPAN,,
,000.7,PERSANDIAN,,
,000.8,PERENCANAAN PEMBANGUNAN,,
,,000.8.1,Musyawarah Perencanaan Pembangunan/Musrenbang,
,,,000.8.1.1,Musrenbang Provinsi
,,,000.8.1.2,Musrenbang Nasional
,,,000.8.1.3,Musrenbang Kab/Kota
,,000.8.2,Perencanaan Pembangungan Daerah,
,,,000.8.2.1,Rencana Pembangunan Jangka Panjang
,,,000.8.2.2,Rencana Pembangunan Jangka Menengah
,,,000.8.2.3,Rencana Anggaran Daerah
,,,000.8.2.4,Rencana Pembangunan Tahunan 
,,,000.8.2.5,Rencana Pembentukan Satuan Kerja Perangkat Daerah
,,,000.8.2.6,Program kerja tahunan
,,,000.8.2.7,Penetapan / Kontrak Kinerja
,,,000.8.2.8,Laporan Berkala
,,,000.8.2.9,Laporan Insidential
,,,000.8.2.10,Evaluasi Program
,,000.8.3,Koordinasi dan Sinkronisasi Perencanaan Pembangunan,
,,000.8.4,Konsultasi Perencanaan Pembangunan,
,,000.8.5,"Pemantauan, Evaluasi, Penilaian, dan Pelaporan Perencanaan Pembangunan",
,,000.8.6,Aksi Strategis Daerah,
,,,000.8.6.1,Rancangan awal perencanaan aksi strategi daerah
,,,000.8.6.2,Rapat pembahasan rancangan awal dengan Perangkat Daerah
,,,000.8.6.3,Sosisalisasi dengan Perangkat Daerah
,,,000.8.6.4,Rancangan akhir perencanaan aksi strategi daerah
,,,000.8.6.5,Penerapan perencaan aksi strategi daerah
,,000.8.7,Perencanaan Pendanaan Pembangunan,
,,,000.8.7.1,Pendanaan Nasional dan Hibah
,,,000.8.7.2,Pendanaan Daerah
,,,000.8.7.3,Kerjasama Pembangunan Nasional
,,,000.8.7.4,Surat Berharga Syariah Negara
,,,000.8.7.5,Pendanaan On Top atau Inisiatif Baru
,000.9,ORGANISASI DAN TATA LAKSANA,,
,,000.9.1,Struktur Organisasi di lingkungan Kementerain Dalam Negeri,
,,,000.9.1.2,Pengubahan
,,000.9.2,Uraian Jabatan,
,,,000.9.2.1,Analisa Jabatan
,,,000.9.2.2,Analisa Beban Kerja
,,000.9.3,Ketatalaksanaan,
,,,000.9.3.2,Standar Pelayanan
,,,000.9.3.3,Standar Operasional Prosedur
,,,000.9.3.4,Pelayanan Publik
,,000.9.4,Standar Kompetensi jabatan struktural dan fungsional,
,,000.9.5,Evaluasi Kelembagaan,
,,000.9.6,Koordinasi Penguatan Reformasi dan Birokrasi,
,,,000.9.6.1,Budaya Kerja
,,,000.9.6.2,Penilaian Mandiri Reformasi Birokrasi
